loss,L,RL,C,RC,Rdson,Rloads,Vin,VF,learning_rate,optimizer,epoch,callbacks
533.404071691526,0.0006800000555813313,0.4000000059604645,0.0001500000071246177,0.25,0.25,"[3.3000001907348633, 10.0, 6.8000006675720215]",46.0,1.100000023841858,0.001,Adam,0,0
318.2568367006363,0.0007297858246602118,0.34766122698783875,0.00015628612891305238,0.1896565854549408,0.2145594358444214,"[3.100273847579956, 10.143965721130371, 6.109531402587891]",48.32674789428711,1.0813398361206055,0.001,Adam,1000,0
318.2336304806515,0.0007289551431313157,0.3371843695640564,0.00015632188296876848,0.18956445157527924,0.22064998745918274,"[3.1000165939331055, 10.146796226501465, 6.109945297241211]",48.280799865722656,1.1000285148620605,0.001,Adam,2000,0
519.7439998207237,0.0007287364569492638,0.3353066146373749,0.00015632838767487556,0.18956324458122253,0.22208833694458008,"[3.0999741554260254, 10.14721965789795, 6.109964370727539]",48.27228546142578,1.1006386280059814,0.001,Adam,3000,1
519.7358122330925,0.0007280919817276299,0.3307724595069885,0.00015642863581888378,0.18946819007396698,0.22066478431224823,"[3.0997273921966553, 10.149662971496582, 6.1097731590271]",48.224578857421875,1.098602294921875,0.001,Adam,4000,1
519.7358102171987,0.0007280917488969862,0.3307712972164154,0.000156428650370799,0.18946819007396698,0.2206660807132721,"[3.0997273921966553, 10.149662971496582, 6.1097731590271]",48.22456359863281,1.0985991954803467,0.0005,Adam,5000,1
519.656744489649,0.0007280913414433599,0.33076927065849304,0.00015642866492271423,0.1894681751728058,0.22066740691661835,"[3.0997273921966553, 10.149662971496582, 6.1097731590271]",48.22454833984375,1.0985946655273438,0.0005,Adam,6000,2
519.6567503263816,0.0007280916324816644,0.3307717442512512,0.0001564287958899513,0.1894681751728058,0.2206663191318512,"[3.0997276306152344, 10.14966106414795, 6.1097731590271]",48.22456359863281,1.0985939502716064,0.0005,Adam,7000,2
519.6567503263816,0.0007280916324816644,0.3307717442512512,0.0001564287958899513,0.1894681751728058,0.2206663191318512,"[3.0997276306152344, 10.14966106414795, 6.1097731590271]",48.22456359863281,1.0985939502716064,0.00025,Adam,8000,2
519.6566984737564,0.0007280916324816644,0.33077186346054077,0.0001564287958899513,0.1894681751728058,0.22066619992256165,"[3.0997276306152344, 10.14966106414795, 6.109774112701416]",48.22456359863281,1.0985934734344482,0.00025,Adam,9000,3
519.6567055774384,0.0007280888967216015,0.33077186346054077,0.00015642878133803606,0.18946819007396698,0.22066450119018555,"[3.09972882270813, 10.14969253540039, 6.109775066375732]",48.22500991821289,1.0985949039459229,0.00025,Adam,10000,3
519.6567031330342,0.0007280888967216015,0.33077186346054077,0.00015642878133803606,0.18946819007396698,0.22066450119018555,"[3.09972882270813, 10.14969253540039, 6.109775066375732]",48.22500991821289,1.0985949039459229,1.0,LBFGS,0,3
519.6567031330342,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,1,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,2,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,3,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,4,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,5,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,6,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,7,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,8,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,9,3
519.656695404783,0.0007280916324816644,0.3307720422744751,0.00015642881044186652,0.1894681453704834,0.22066453099250793,"[3.0997276306152344, 10.149662971496582, 6.109775066375732]",48.224552154541016,1.0985950231552124,1.0,LBFGS,10,3
