loss,L,RL,C,RC,Rdson,Rload1,Rload2,Rload3,Vin,VF
694364.1875,0.0007285461761057377,0.3435198664665222,0.00016317248810082674,0.18914194405078888,0.21265605092048645,3.102047920227051,10.14759635925293,6.1156392097473145,48.2630729675293,1.0555967092514038
694364.1875,0.0007285461761057377,0.3435198664665222,0.00016317248810082674,0.18914194405078888,0.21265605092048645,3.102047920227051,10.14759635925293,6.1156392097473145,48.2630729675293,1.0555967092514038
692933.4375,0.0007263320730999112,0.3251264691352844,0.00016337384295184165,0.18907076120376587,0.21395504474639893,3.1015732288360596,10.152746200561523,6.116527557373047,48.11294937133789,1.0619953870773315
692933.4375,0.0007263320730999112,0.3251264691352844,0.00016337384295184165,0.18907076120376587,0.21395504474639893,3.1015732288360596,10.152746200561523,6.116527557373047,48.11294937133789,1.0619953870773315
692538.0625,0.0007249107584357262,0.31447410583496094,0.000163421529578045,0.18906497955322266,0.22554321587085724,3.1015069484710693,10.153436660766602,6.1165924072265625,48.07522201538086,1.0579259395599365
692538.0625,0.0007249107584357262,0.31447410583496094,0.000163421529578045,0.18906497955322266,0.22554321587085724,3.1015069484710693,10.153436660766602,6.1165924072265625,48.07522201538086,1.0579259395599365
692416.375,0.0007237910758703947,0.3071528375148773,0.00016345031326636672,0.18906021118164062,0.2337273806333542,3.101468563079834,10.153841018676758,6.116623401641846,48.0461540222168,1.0497909784317017
692416.375,0.0007237910758703947,0.3071528375148773,0.00016345031326636672,0.18906021118164062,0.2337273806333542,3.101468563079834,10.153841018676758,6.116623401641846,48.0461540222168,1.0497909784317017
692400.75,0.0007230638875626028,0.3042782247066498,0.00016345965559594333,0.18905840814113617,0.23662102222442627,3.1014516353607178,10.154014587402344,6.116636753082275,48.024620056152344,1.0360989570617676
692400.75,0.0007230638875626028,0.3042782247066498,0.00016345965559594333,0.18905840814113617,0.23662102222442627,3.1014516353607178,10.154014587402344,6.116636753082275,48.024620056152344,1.0360989570617676
275480.5,0.0006917559658177197,0.29817190766334534,0.00014787619875278324,0.19838860630989075,0.21832314133644104,3.0845441818237305,9.861618041992188,5.92104434967041,46.93608856201172,0.0009307952714152634
275480.5,0.0006917559658177197,0.29817190766334534,0.00014787619875278324,0.19838860630989075,0.21832314133644104,3.0845441818237305,9.861618041992188,5.92104434967041,46.93608856201172,0.0009307952714152634
275478.71875,0.0006957415025681257,0.3018043637275696,0.0001436371821910143,0.1970621645450592,0.21757523715496063,3.112520456314087,9.87814712524414,5.896271705627441,47.125511169433594,0.032285865396261215
275478.71875,0.0006957415025681257,0.3018043637275696,0.0001436371821910143,0.1970621645450592,0.21757523715496063,3.112520456314087,9.87814712524414,5.896271705627441,47.125511169433594,0.032285865396261215
275478.84375,0.000695741968229413,0.3018049895763397,0.0001436369784642011,0.19706228375434875,0.21757438778877258,3.112518548965454,9.878182411193848,5.896269798278809,47.125526428222656,0.03228900581598282
275478.84375,0.000695741968229413,0.3018049895763397,0.0001436369784642011,0.19706228375434875,0.21757438778877258,3.112518548965454,9.878182411193848,5.896269798278809,47.125526428222656,0.03228900581598282
275477.71875,0.0006957420846447349,0.3018055558204651,0.00014363712398335338,0.1970614194869995,0.21757543087005615,3.112518548965454,9.878165245056152,5.896274089813232,47.12553405761719,0.03229009360074997
275477.71875,0.0006957420846447349,0.3018055558204651,0.00014363712398335338,0.1970614194869995,0.21757543087005615,3.112518548965454,9.878165245056152,5.896274089813232,47.12553405761719,0.03229009360074997
275475.46875,0.0006957413861528039,0.30180278420448303,0.00014363722584675997,0.19706155359745026,0.21757440268993378,3.112520694732666,9.878165245056152,5.896275997161865,47.12549591064453,0.03229067102074623
275475.46875,0.0006957413861528039,0.30180278420448303,0.00014363722584675997,0.19706155359745026,0.21757440268993378,3.112520694732666,9.878165245056152,5.896275997161865,47.12549591064453,0.03229067102074623
