loss,L,RL,C,RC,Rdson,Rloads,Vin,VF,learning_rate,optimizer,epoch,callbacks
5916.304720662793,0.0006800000555813313,0.4000000059604645,0.0001500000071246177,0.25,0.25,"[3.3000001907348633, 10.0, 6.8000006675720215]",46.0,1.100000023841858,0.001,Adam,0,0
763.3507196733524,0.0007294507813639939,0.3440781831741333,0.00016257910465355963,0.1950966715812683,0.21039614081382751,"[3.101257562637329, 10.166778564453125, 6.1059675216674805]",48.25471496582031,1.0543750524520874,0.001,Adam,1000,0
760.6069968396644,0.000727575970813632,0.3277946412563324,0.00016272233915515244,0.19509895145893097,0.21026909351348877,"[3.1005218029022217, 10.174125671386719, 6.107023239135742]",48.11817169189453,1.0636162757873535,0.001,Adam,2000,0
487.0352523258211,0.0007265849853865802,0.31931623816490173,0.00016274450172204524,0.1950971484184265,0.21947386860847473,"[3.100400924682617, 10.175193786621094, 6.1071038246154785]",48.09226608276367,1.0656116008758545,0.001,Adam,3000,1
486.95484304540736,0.0007261933060362935,0.31544795632362366,0.00016269947809632868,0.19512952864170074,0.22422806918621063,"[3.1003458499908447, 10.175450325012207, 6.10723352432251]",48.084930419921875,1.0686177015304565,0.001,Adam,4000,1
486.9379538131067,0.000726009311620146,0.31321588158607483,0.00016270454216282815,0.19512875378131866,0.22680756449699402,"[3.1003167629241943, 10.175700187683105, 6.107247829437256]",48.08115768432617,1.0719064474105835,0.001,Adam,5000,1
486.9801632122985,0.0007260160055011511,0.31259995698928833,0.00016270588093902916,0.19512850046157837,0.22756192088127136,"[3.1003081798553467, 10.175773620605469, 6.107252597808838]",48.08202362060547,1.074905514717102,0.001,Adam,6000,2
486.98007180094146,0.0007260721758939326,0.31255990266799927,0.00016270604101009667,0.19512847065925598,0.22765783965587616,"[3.1003074645996094, 10.175780296325684, 6.107253074645996]",48.083980560302734,1.0771429538726807,0.001,Adam,7000,2
486.980048090409,0.0007261037826538086,0.3125705420970917,0.00016270596825052053,0.1951284408569336,0.22767165303230286,"[3.1003074645996094, 10.175780296325684, 6.107253074645996]",48.085025787353516,1.0782420635223389,0.001,Adam,8000,2
486.98149229180206,0.0007261097198352218,0.3125728964805603,0.0001627059536986053,0.1951284408569336,0.22767393290996552,"[3.1003074645996094, 10.175780296325684, 6.107253074645996]",48.08523178100586,1.0784492492675781,0.0005,Adam,9000,3
486.9814877401635,0.0007261114660650492,0.31257373094558716,0.00016270592459477484,0.1951284408569336,0.22767440974712372,"[3.1003072261810303, 10.175780296325684, 6.107253074645996]",48.08529281616211,1.0785138607025146,0.0005,Adam,10000,3
486.9814855998082,0.0007261114660650492,0.31257373094558716,0.00016270592459477484,0.1951284408569336,0.22767440974712372,"[3.1003072261810303, 10.175780296325684, 6.107253074645996]",48.08529281616211,1.0785138607025146,1.0,LBFGS,0,3
486.9814855998082,0.000726111582480371,0.31257373094558716,0.00016270592459477484,0.1951284408569336,0.22767440974712372,"[3.1003074645996094, 10.175780296325684, 6.107253074645996]",48.085289001464844,1.0785138607025146,1.0,LBFGS,1,3
