loss,L,RL,C,RC,Rdson,Rloads,Vin,VF,learning_rate,optimizer,epoch,callbacks
128921.16693487109,0.0006800000555813313,0.4000000059604645,0.0001500000071246177,0.25,0.25,"[3.299999713897705, 10.0, 6.8000006675720215]",46.0,1.100000023841858,0.001,Adam,0,0
91.5339535726249,0.0007293810485862195,0.3360334634780884,0.00016442494234070182,0.20078516006469727,0.20400118827819824,"[3.1004316806793213, 10.192398071289062, 6.098245620727539]",48.15725326538086,1.053048014640808,0.001,Adam,1000,0
65.86904718252048,0.0007278576376847923,0.3234947621822357,0.0001644947042223066,0.20079323649406433,0.21169987320899963,"[3.100071668624878, 10.195854187011719, 6.0986647605896]",48.08820343017578,1.0554081201553345,0.001,Adam,2000,0
39.58366588638127,0.0007269627531059086,0.31662923097610474,0.00016450893599539995,0.20079147815704346,0.21954958140850067,"[3.0999841690063477, 10.196612358093262, 6.098703861236572]",48.066497802734375,1.053601622581482,0.001,Adam,3000,1
39.27019938893016,0.0007266356260515749,0.31461256742477417,0.00016451124974992126,0.2007911503314972,0.22175905108451843,"[3.099956750869751, 10.196850776672363, 6.0987162590026855]",48.05771255493164,1.050749659538269,0.001,Adam,4000,1
39.2341436799932,0.0007264268351718783,0.31400054693222046,0.0001645128068048507,0.20079100131988525,0.22233423590660095,"[3.0999491214752197, 10.196911811828613, 6.098720073699951]",48.05134201049805,1.0458545684814453,0.001,Adam,5000,1
39.060680563058064,0.0007262132712639868,0.31387796998023987,0.00016451346164103597,0.20079097151756287,0.22230951488018036,"[3.0999486446380615, 10.196919441223145, 6.098720550537109]",48.04428482055664,1.0386195182800293,0.001,Adam,6000,2
39.035629469713314,0.0007259388803504407,0.3137854039669037,0.00016451400006189942,0.20079103112220764,0.22219868004322052,"[3.0999486446380615, 10.196921348571777, 6.098721504211426]",48.03517150878906,1.0290405750274658,0.001,Adam,7000,2
39.0144140719898,0.0007256190874613822,0.31368061900138855,0.0001645148149691522,0.20079104602336884,0.22206595540046692,"[3.0999486446380615, 10.196924209594727, 6.098721981048584]",48.0245475769043,1.017865538597107,0.001,Adam,8000,2
38.892801750762885,0.0007253142539411783,0.3135809302330017,0.0001645155280129984,0.20079107582569122,0.22193960845470428,"[3.099950075149536, 10.196924209594727, 6.0987229347229]",48.01447677612305,1.0072345733642578,0.001,Adam,9000,3
39.09373866788659,0.0007250685011968017,0.3135046660900116,0.00016451523697469383,0.2007920742034912,0.22184422612190247,"[3.099976062774658, 10.197446823120117, 6.0987467765808105]",48.010101318359375,0.9999693632125854,0.001,Adam,10000,3
39.11913580311901,0.0007250685011968017,0.3135046660900116,0.00016451523697469383,0.2007920742034912,0.22184422612190247,"[3.099976062774658, 10.197446823120117, 6.0987467765808105]",48.010101318359375,0.9999693632125854,1.0,LBFGS,0,3
39.11913580311901,0.00072510726749897,0.31351619958877563,0.0001645157317398116,0.2007911503314972,0.22184991836547852,"[3.0999486446380615, 10.196911811828613, 6.098721981048584]",48.007476806640625,0.999950110912323,1.0,LBFGS,1,3
38.88754231222824,0.00072510726749897,0.31351619958877563,0.0001645157317398116,0.2007911503314972,0.22184991836547852,"[3.0999486446380615, 10.196911811828613, 6.098721981048584]",48.007476806640625,0.9999499917030334,1.0,LBFGS,2,3
