loss,L,RL,C,RC,Rdson,Rloads,Vin,VF,learning_rate,optimizer,epoch
1520.37353515625,0.0007293984526768327,0.3437170088291168,0.00016519890050403774,0.19503945112228394,0.21011152863502502,"[3.1020236015319824, 10.166308403015137, 6.108098983764648]",48.25022506713867,1.054266095161438,0.001,Adam,1000
1514.654296875,0.0007274508243426681,0.3271333575248718,0.0001653809886192903,0.19503796100616455,0.2097787857055664,"[3.1012778282165527, 10.173723220825195, 6.109207630157471]",48.109031677246094,1.062308430671692,0.001,Adam,2000
1513.4208984375,0.0007263670559041202,0.3184014856815338,0.00016539984790142626,0.19503426551818848,0.21919319033622742,"[3.1011738777160645, 10.174768447875977, 6.109278202056885]",48.08013916015625,1.0620416402816772,0.001,Adam,3000
1513.074462890625,0.0007256144308485091,0.312702476978302,0.00016540958313271403,0.195031076669693,0.22566072642803192,"[3.10111665725708, 10.175338745117188, 6.1093058586120605]",48.06153869628906,1.0601004362106323,0.001,Adam,4000
1513.0423583984375,0.0007252591312862933,0.3106507658958435,0.0001654134102864191,0.19502995908260345,0.22787246108055115,"[3.1010944843292236, 10.175555229187012, 6.109318256378174]",48.051761627197266,1.0563279390335083,0.001,Adam,5000
1513.0406494140625,0.0007250834605656564,0.3103320300579071,0.0001654142397455871,0.19502978026866913,0.22811460494995117,"[3.1010916233062744, 10.175583839416504, 6.109320163726807]",48.046165466308594,1.0513461828231812,0.001,Adam,6000
1513.0399169921875,0.0007249753689393401,0.3102871775627136,0.000165414487128146,0.19502976536750793,0.22807955741882324,"[3.1010916233062744, 10.175586700439453, 6.109321117401123]",48.0425910949707,1.0476160049438477,0.0005,Adam,7000
1513.0396728515625,0.0007248987094499171,0.3102620840072632,0.00016541466175112873,0.19502975046634674,0.22804713249206543,"[3.1010916233062744, 10.175586700439453, 6.109321117401123]",48.040016174316406,1.0449317693710327,0.0005,Adam,8000
1513.0394287109375,0.0007248364272527397,0.3102412819862366,0.00016541483637411147,0.19502975046634674,0.228020578622818,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.037933349609375,1.0427441596984863,0.0005,Adam,9000
1513.039306640625,0.0007248087786138058,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03704071044922,1.0417906045913696,0.00025,Adam,10000
1513.039306640625,0.0007248087786138058,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03704071044922,1.0417906045913696,1.0,LBFGS,0
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,1
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,2
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,3
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,4
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,5
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,6
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,7
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,8
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,9
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,10
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,11
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,12
1513.039306640625,0.0007248090114444494,0.31023216247558594,0.00016541488002985716,0.19502973556518555,0.22800889611244202,"[3.1010916233062744, 10.175586700439453, 6.109321594238281]",48.03702926635742,1.04179048538208,1.0,LBFGS,13
