loss,epoch,optimizer,learning_rate,callbacks,L,RL,C,RC,Rdson,Rloads1,Rloads2,Rloads3,Vin,VF
128921.19071559593,0,Adam,0.001,0,0.0006800000555813313,0.4000000059604645,0.0001500000071246177,0.25,0.25,3.3000001907348633,10.0,6.8000006675720215,46.0,1.100000023841858
91.53468804527944,1000,Adam,0.001,0,0.0007293811067938805,0.3360336422920227,0.00016442494234070182,0.20078516006469727,0.20400097966194153,3.1004316806793213,10.192400932312012,6.098246097564697,48.157257080078125,1.053048849105835
65.86922862568164,2000,Adam,0.001,0,0.0007278577541001141,0.32349497079849243,0.0001644947042223066,0.20079323649406433,0.21169979870319366,3.100071668624878,10.195852279663086,6.0986647605896,48.08820724487305,1.0554090738296509
40.6927484869235,3000,Adam,0.001,1,0.000726963160559535,0.3166293203830719,0.00016450893599539995,0.20079147815704346,0.21954941749572754,3.0999841690063477,10.196612358093262,6.098703384399414,48.06648254394531,1.0536025762557983
40.364782966732996,4000,Adam,0.001,1,0.000726628175470978,0.3145792484283447,0.00016451375267934054,0.20079092681407928,0.22178860008716583,3.099956750869751,10.196853637695312,6.098717212677002,48.05746841430664,1.0505965948104858
40.32892033815848,5000,Adam,0.001,1,0.0007264166488312185,0.3140017092227936,0.00016451529518235475,0.20079080760478973,0.22231915593147278,3.099949836730957,10.196914672851562,6.098721504211426,48.05097198486328,1.0454810857772827
40.18975848456492,6000,Adam,0.001,2,0.000726197031326592,0.31388694047927856,0.0001645159354666248,0.20079076290130615,0.2222798764705658,3.099949359893799,10.196916580200195,6.0987229347229,48.04369354248047,1.0379867553710938
40.16338086243681,7000,Adam,0.001,2,0.0007259160629473627,0.31379395723342896,0.00016451663395855576,0.20079079270362854,0.22216388583183289,3.0999491214752197,10.196916580200195,6.0987229347229,48.03434371948242,1.0281661748886108
40.1417959547202,8000,Adam,0.001,2,0.0007255943492054939,0.31368887424468994,0.00016451744886580855,0.20079079270362854,0.222029447555542,3.099949836730957,10.196919441223145,6.098724365234375,48.023643493652344,1.0169178247451782
40.023119079106294,9000,Adam,0.001,3,0.0007252982468344271,0.31359225511550903,0.00016451820556540042,0.20079079270362854,0.22190575301647186,3.099949359893799,10.1968994140625,6.098723411560059,48.013671875,1.0065276622772217
40.02882397948576,10000,Adam,0.001,3,0.0007250988273881376,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.0999531745910645,10.19696044921875,6.09872579574585,48.00753402709961,0.9997209310531616
40.02197183909753,0,LBFGS,1.0,3,0.0007250988273881376,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.0999531745910645,10.19696044921875,6.09872579574585,48.00753402709961,0.9997209310531616
40.02197183909753,1,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,2,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,3,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,4,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,5,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,6,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,7,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,8,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,9,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,10,LBFGS,1.0,3,0.0007251024944707751,0.3135280907154083,0.00016451861301902682,0.2007909119129181,0.22182300686836243,3.099951982498169,10.19696044921875,6.09872579574585,48.007259368896484,0.9997208714485168
40.01961860611222,11,LBFGS,1.0,3,0.0007250281050801277,0.3134867250919342,0.00016451466944999993,0.20079049468040466,0.22181551158428192,3.099947214126587,10.196928977966309,6.098703861236572,48.00481414794922,0.9971876740455627
40.01924706756524,12,LBFGS,1.0,3,0.0007250063354149461,0.3134966194629669,0.00016451904957648367,0.20079079270362854,0.22178442776203156,3.099950075149536,10.196914672851562,6.09872579574585,48.00406265258789,0.9963527917861938
40.019196488080034,13,LBFGS,1.0,3,0.0007250065682455897,0.3134966492652893,0.00016451910778414458,0.20079073309898376,0.22178450226783752,3.099950075149536,10.196914672851562,6.098726272583008,48.00407409667969,0.9963636994361877
40.01919533026733,14,LBFGS,1.0,3,0.0007250073831528425,0.31349724531173706,0.0001645195297896862,0.20079073309898376,0.22178468108177185,3.099950075149536,10.196914672851562,6.098724842071533,48.00409698486328,0.9963964819908142
40.019197434840365,15,LBFGS,1.0,3,0.0007250075577758253,0.31349700689315796,0.00016451931151095778,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196908950805664,6.098727703094482,48.00410079956055,0.9963937997817993
40.01919868352233,16,LBFGS,1.0,3,0.0007250073831528425,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196907043457031,6.098726272583008,48.00410079956055,0.9963923096656799
40.01919545111069,17,LBFGS,1.0,3,0.0007250073831528425,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196907043457031,6.098726272583008,48.00410079956055,0.9963923096656799
40.01919545111069,18,LBFGS,1.0,3,0.0007250073831528425,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196907043457031,6.098726272583008,48.00410079956055,0.9963923096656799
40.01919545111069,19,LBFGS,1.0,3,0.0007250073831528425,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196907043457031,6.098726272583008,48.00410079956055,0.9963923096656799
40.01919545111069,20,LBFGS,1.0,3,0.0007250073831528425,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196907043457031,6.098726272583008,48.00410079956055,0.9963923096656799
40.01919545111069,21,LBFGS,1.0,3,0.0007250073831528425,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845916748047,3.0999505519866943,10.196907043457031,6.098726272583008,48.00410079956055,0.9963923096656799
40.01919545111069,22,LBFGS,1.0,3,0.0007250074413605034,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845618724823,3.0999505519866943,10.196911811828613,6.098724842071533,48.00410079956055,0.9963928461074829
40.01919539532265,23,LBFGS,1.0,3,0.0007250074413605034,0.3134969174861908,0.0001645192678552121,0.20079076290130615,0.2217845618724823,3.0999505519866943,10.196911811828613,6.098724842071533,48.00410079956055,0.9963928461074829
