loss,epoch,optimizer,learning_rate,callbacks,L,RL,C,RC,Rdson,Rloads1,Rloads2,Rloads3,Vin,VF
128921.40296870994,0,Adam,0.001,0,0.0006799998809583485,0.4000000059604645,0.00014999997802078724,0.25,0.25,3.3000001907348633,10.0,6.8000006675720215,46.0,1.100000023841858
91.54649356856727,1000,Adam,0.001,0,0.0007293831440620124,0.33603760600090027,0.00016442412743344903,0.20078526437282562,0.20399990677833557,3.1004316806793213,10.19239330291748,6.098244667053223,48.157352447509766,1.0530836582183838
65.87185306354857,2000,Adam,0.001,0,0.0007278589182533324,0.32349738478660583,0.00016449266695417464,0.2007932811975479,0.21169878542423248,3.100071430206299,10.195849418640137,6.098663330078125,48.088260650634766,1.0554512739181519
39.647199059958325,3000,Adam,0.001,1,0.0007269650814123452,0.31663021445274353,0.00016450756811536849,0.20079155266284943,0.21954922378063202,3.0999834537506104,10.196615219116211,6.098702430725098,48.0665168762207,1.0536530017852783
39.32895915715688,4000,Adam,0.001,1,0.0007266337634064257,0.3146015405654907,0.00016451226838398725,0.20079098641872406,0.22176553308963776,3.099956750869751,10.19684886932373,6.0987162590026855,48.057621002197266,1.0507055521011353
39.29315261559207,5000,Adam,0.001,1,0.0007264234591275454,0.3140084445476532,0.00016451462579425424,0.20079083740711212,0.2223164588212967,3.099949359893799,10.196914672851562,6.098721504211426,48.05119705200195,1.0456923246383667
39.11808623091292,6000,Adam,0.001,2,0.0007262073922902346,0.3138900101184845,0.00016451541159767658,0.20079079270362854,0.22228418290615082,3.0999491214752197,10.196914672851562,6.0987229347229,48.044036865234375,1.0383368730545044
39.092490008347,7000,Adam,0.001,2,0.0007259300327859819,0.3137984275817871,0.00016451635747216642,0.20079076290130615,0.2221696376800537,3.0999491214752197,10.196919441223145,6.0987229347229,48.034828186035156,1.0286577939987183
39.071193622190464,8000,Adam,0.001,2,0.0007256102981045842,0.3136940002441406,0.00016451728879474103,0.20079079270362854,0.22203627228736877,3.099949359893799,10.196919441223145,6.098723411560059,48.02415466308594,1.017475962638855
38.948516662705615,9000,Adam,0.001,3,0.0007253089570440352,0.3135964572429657,0.00016451807459816337,0.20079080760478973,0.22191040217876434,3.099950075149536,10.19693374633789,6.098724365234375,48.014320373535156,1.0069910287857056
38.94582193044182,10000,Adam,0.001,3,0.0007251084316521883,0.31353089213371277,0.00016451871488243341,0.2007908672094345,0.22182658314704895,3.0999507904052734,10.196938514709473,6.098724365234375,48.00760269165039,0.999969482421875
38.94523395883961,0,LBFGS,1.0,3,0.0007251084316521883,0.31353089213371277,0.00016451871488243341,0.2007908672094345,0.22182658314704895,3.0999507904052734,10.196938514709473,6.098724365234375,48.00760269165039,0.999969482421875
38.94523395883961,1,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.0999507904052734,10.19693660736084,6.098724365234375,48.007511138916016,0.999969482421875
38.944947429368675,2,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.0999507904052734,10.19693660736084,6.098724365234375,48.007511138916016,0.999969482421875
38.944947429368675,3,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.0999507904052734,10.19693660736084,6.098724365234375,48.007511138916016,0.999969482421875
38.944947429368675,4,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.0999507904052734,10.19693660736084,6.098724365234375,48.007511138916016,0.999969482421875
38.944947429368675,5,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.0999507904052734,10.19693660736084,6.098724365234375,48.007511138916016,0.999969482421875
38.944947429368675,6,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.0999507904052734,10.19693660736084,6.098724365234375,48.007511138916016,0.999969482421875
38.944947429368675,7,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.099950075149536,10.19693660736084,6.098724365234375,48.007511138916016,0.9999694228172302
38.94494737987399,8,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.099950075149536,10.19693660736084,6.098724365234375,48.007511138916016,0.9999694228172302
38.94494737987399,9,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.099950075149536,10.19693660736084,6.098724365234375,48.007511138916016,0.9999694228172302
38.94494737987399,10,LBFGS,1.0,3,0.0007251097704283893,0.31353092193603516,0.00016451871488243341,0.2007908672094345,0.22182655334472656,3.099950075149536,10.19693660736084,6.098724365234375,48.007511138916016,0.9999694228172302
