loss,epoch,optimizer,learning_rate,callbacks,L,RL,C,RC,Rdson,Vin,VF,Rloads1,Rloads2,Rloads3
2055.012428501521,0,Adam,0.001,0,0.0006799998809583485,0.4000000059604645,0.00014999997802078724,0.25,0.25,46.0,1.100000023841858,3.3000001907348633,10.0,6.8000006675720215
759.9384335976673,1000,Adam,0.001,0,0.0007286621257662773,0.34488511085510254,0.00015636655734851956,0.18933498859405518,0.2125796675682068,48.27223587036133,1.053407907485962,3.1000969409942627,10.14615249633789,6.108463764190674
759.2374258099962,2000,Adam,0.001,0,0.0007266493630595505,0.3280595541000366,0.0001564676931593567,0.18926188349723816,0.21392972767353058,48.13615036010742,1.0597898960113525,3.0994350910186768,10.153019905090332,6.109475612640381
759.0521047733652,3000,Adam,0.001,0,0.0007254068623296916,0.31845709681510925,0.00015649112174287438,0.1892588585615158,0.22447329759597778,48.10377502441406,1.0575629472732544,3.0993120670318604,10.154094696044922,6.1095499992370605
759.0004009201703,4000,Adam,0.001,0,0.0007244949229061604,0.31217160820961,0.0001565056008985266,0.18925578892230988,0.23152950406074524,48.08039474487305,1.0524011850357056,3.0992376804351807,10.154731750488281,6.109587669372559
758.994961771362,5000,Adam,0.001,0,0.0007239648257382214,0.30990833044052124,0.00015651142166461796,0.18925487995147705,0.23384828865528107,48.06492233276367,1.043174386024475,3.099210500717163,10.154964447021484,6.109602928161621
758.9935372857208,6000,Adam,0.001,0,0.0007235372322611511,0.30949509143829346,0.00015651261492166668,0.18925482034683228,0.23399466276168823,48.050872802734375,1.029390811920166,3.0992066860198975,10.154995918273926,6.10960578918457
758.992649896316,7000,Adam,0.0005,0,0.0007232399075292051,0.30939140915870667,0.0001565127749927342,0.18925482034683228,0.23387479782104492,48.04096603393555,1.0190141201019287,3.0992064476013184,10.155000686645508,6.109606742858887
758.9916827114898,8000,Adam,0.0005,0,0.0007228623726405203,0.3092692792415619,0.00015651321155019104,0.18925495445728302,0.23371067643165588,48.02834701538086,1.005769968032837,3.0992066860198975,10.154997825622559,6.109607219696045
758.9907656465047,9000,Adam,0.0005,0,0.0007223947905004025,0.3091183304786682,0.0001565138081787154,0.18925513327121735,0.23350733518600464,48.0126953125,0.9893650412559509,3.0992064476013184,10.154995918273926,6.109608173370361
