loss,L,RL,C,RC,Rdson,Rload1,Rload2,Rload3,Vin,VF
0.0001051425133482553,0.0006793204229325056,0.39960020780563354,0.00015015006647445261,0.24975022673606873,0.24975018203258514,3.2967021465301514,9.990011215209961,6.793205261230469,46.046024322509766,1.0989010334014893
1.6846986909513362e-05,0.0007414752617478371,0.3715059161186218,0.000259206019109115,0.17966613173484802,0.224696546792984,3.1526010036468506,10.434969902038574,6.4099907875061035,48.83875274658203,1.1399999856948853
1.184177199320402e-05,0.0007589037413708866,0.38505759835243225,0.00038783339550718665,0.1798938363790512,0.21643593907356262,3.223255157470703,10.237226486206055,6.561745643615723,49.381710052490234,1.5400458574295044
9.212219993059989e-06,0.0008064325083978474,0.41638994216918945,0.0005382976378314197,0.1828659325838089,0.20647160708904266,3.290863037109375,9.967000961303711,6.699366092681885,50.87936019897461,2.9407427310943604
6.3181992118188646e-06,0.0009583509527146816,0.4549659788608551,0.0007219951367005706,0.18542006611824036,0.19671232998371124,3.366039752960205,9.953186988830566,6.928042888641357,55.4443244934082,8.286290168762207
3.632598691183375e-06,0.0012901572044938803,0.4849485456943512,0.0009628547704778612,0.1865672916173935,0.1940670907497406,3.463357925415039,10.608585357666016,7.387760639190674,65.25467681884766,20.372533798217773
2.068710273306351e-06,0.001752901473082602,0.5059210062026978,0.0012961523607373238,0.18802502751350403,0.19574174284934998,3.585440158843994,11.714228630065918,8.010586738586426,78.8677749633789,37.16716766357422
1.2171549315098673e-06,0.0023207736667245626,0.5143173933029175,0.0017447267891839147,0.18982388079166412,0.19618013501167297,3.72139048576355,13.159829139709473,8.72447681427002,95.45264434814453,57.74608612060547
7.344826258304238e-07,0.0030103980097919703,0.5086255073547363,0.0023316112346947193,0.19158226251602173,0.19358721375465393,3.8642497062683105,14.804815292358398,9.47789192199707,115.4640884399414,82.72620391845703
4.5076239985064603e-07,0.0038526118732988834,0.49185553193092346,0.003088235156610608,0.193072110414505,0.18840590119361877,4.011919975280762,16.449060440063477,10.228409767150879,139.8111114501953,113.20419311523438
2.7993803541903617e-07,0.00488650519400835,0.468872606754303,0.004055364988744259,0.19423431158065796,0.18183985352516174,4.163408279418945,17.926687240600586,10.9458646774292,169.6539306640625,150.56698608398438
1.753678162685901e-07,0.006160269491374493,0.4440443515777588,0.005283181089907885,0.19510242342948914,0.17505879700183868,4.317610740661621,19.144672393798828,11.60936450958252,206.4130401611328,196.5267333984375
1.1064369687119324e-07,0.0077319275587797165,0.42031246423721313,0.0068310522474348545,0.1957385390996933,0.1688801348209381,4.472959518432617,20.078781127929688,12.203415870666504,251.7928924560547,253.1431427001953
7.030961768350608e-08,0.009668787010014057,0.39930909872055054,0.008765775710344315,0.1961963176727295,0.1637333184480667,4.627353191375732,20.753910064697266,12.716180801391602,307.7780456542969,322.80413818359375
4.505078265992779e-08,0.012044032104313374,0.3817409873008728,0.011156690306961536,0.1965145319700241,0.1597360074520111,4.778140544891357,21.220539093017578,13.140560150146484,376.53839111328125,408.07568359375
2.9174575644219658e-08,0.01492828968912363,0.36773282289505005,0.014065352268517017,0.1967153251171112,0.1567983776330948,4.922142505645752,21.534238815307617,13.476547241210938,460.2187194824219,511.3966064453125
1.918295033931372e-08,0.018375713378190994,0.35702529549598694,0.017529238015413284,0.19680921733379364,0.15472517907619476,5.055842399597168,21.74283218383789,13.732054710388184,560.5344848632812,634.5718383789062
1.2875958077529503e-08,0.022403467446565628,0.34911707043647766,0.02154168114066124,0.19681045413017273,0.15329769253730774,5.175965785980225,21.882205963134766,13.920910835266113,678.1565551757812,778.0429077148438
8.870849832476324e-09,0.02697066403925419,0.3434015214443207,0.026036379858851433,0.19672748446464539,0.15232300758361816,5.280348300933838,21.977066040039062,14.058692932128906,812.06982421875,940.22607421875
6.3122498339396316e-09,0.03197154402732849,0.339290976524353,0.030888669192790985,0.19659335911273956,0.15165184438228607,5.368467807769775,22.043527603149414,14.159663200378418,959.2578125,1117.309814453125
