loss,L,RL,C,RC,Rdson,Rloads,Vin,VF,learning_rate,optimizer,epoch
11804.3505859375,0.0006800000555813313,0.4000000059604645,0.0001500000071246177,0.25,0.25,"[3.3000001907348633, 10.0, 6.8000006675720215]",46.0,1.100000023841858,0.001,Adam,0
1520.97802734375,0.0007294203387573361,0.3437564969062805,0.00016514827439095825,0.1950632780790329,0.2102031409740448,"[3.102020025253296, 10.166172981262207, 6.108208179473877]",48.25148010253906,1.05488121509552,0.001,Adam,1000
1515.2860107421875,0.0007275085663422942,0.3272039294242859,0.00016532762674614787,0.19506175816059113,0.20999515056610107,"[3.10127854347229, 10.173539161682129, 6.10930871963501]",48.11212921142578,1.0640679597854614,0.001,Adam,2000
1514.0706787109375,0.0007264832383953035,0.3185463845729828,0.0001653462095418945,0.19505809247493744,0.21935050189495087,"[3.1011745929718018, 10.174579620361328, 6.10938024520874]",48.085044860839844,1.0655969381332397,0.001,Adam,3000
1513.7449951171875,0.0007258242112584412,0.3130379021167755,0.00016535562463104725,0.19505497813224792,0.22564060986042023,"[3.1011180877685547, 10.175142288208008, 6.109407901763916]",48.06929016113281,1.0662264823913574,0.001,Adam,4000
1513.718017578125,0.0007255838136188686,0.3111474812030792,0.00016535894246771932,0.19505397975444794,0.2277452051639557,"[3.101097345352173, 10.17534351348877, 6.109418869018555]",48.06318664550781,1.0659230947494507,0.001,Adam,5000
1513.7177734375,0.0007255342206917703,0.31090131402015686,0.0001653594517847523,0.1950538456439972,0.22800298035144806,"[3.1010944843292236, 10.175373077392578, 6.1094207763671875]",48.0617790222168,1.065221905708313,0.001,Adam,6000
1513.717529296875,0.0007255205418914557,0.31089115142822266,0.000165359495440498,0.195053830742836,0.22800402343273163,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06132888793945,1.064763069152832,0.0005,Adam,7000
1513.717529296875,0.0007255140226334333,0.3108882009983063,0.00016535952454432845,0.195053830742836,0.22800207138061523,"[3.101094961166382, 10.175374984741211, 6.1094207763671875]",48.06110763549805,1.064543604850769,0.0005,Adam,8000
1513.7176513671875,0.0007255105301737785,0.3108864426612854,0.0001653595536481589,0.195053830742836,0.22800111770629883,"[3.101095199584961, 10.175373077392578, 6.1094207763671875]",48.06099319458008,1.0644217729568481,0.0005,Adam,9000
1513.7176513671875,0.0007255095988512039,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06095886230469,1.064390778541565,0.00025,Adam,10000
1513.717529296875,0.0007255095988512039,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06095886230469,1.064390778541565,1.0,LBFGS,0
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,1
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,2
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,3
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,4
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,5
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,6
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,7
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,8
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,9
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,10
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,11
1513.717529296875,0.0007255097152665257,0.3108859658241272,0.0001653595536481589,0.195053830742836,0.2280009239912033,"[3.101094961166382, 10.175373077392578, 6.1094207763671875]",48.06096649169922,1.064390778541565,1.0,LBFGS,12
